Story Name,Number,Ending word count,Date
The Party,1,122,4/3/2024
Extrospect,2,192,4/25/2024
Amateur Book Society,3,768,1/6/2024
The Star Gazer,4,418,1/8/2024
 Uncle Arthurâ€™s Many Secrets ,5,165,5/19/2024
A Hidden Truth Between the Pages,6,256,5/24/2024
Malik in Wonderland,7,313,5/23/2024
Mystery at Milhouse Mansion,8,213,5/12/2024
gone,9,86,4/5/2024
Blowing in the Wind,10,104,3/6/2024
The Neighbor,11,234,2/24/2024
 Curtis and the Curious Current ,12,496,3/8/2024
 BOUND BY THE JERSEY ,13,88,3/9/2024
 The Backstabber and the Night Knocker ,14,481,3/14/2024
 De Nachtwacht ,15,445,3/18/2024
Rapture,16,939,2/1/2024
 On The Shoulders Of The Wise ,17,456,2/2/2024
 Morning Run ,18,528,2/2/2024
 The Wind of Change ,19,126,3/5/2024
 Scar House ,20,497,2/7/2024
 The Library in the Wall ,21,541,5/17/2024
 Pier 33 ,22,102,5/17/2024
 The Gassing of Hampshire Manor ,23,584,5/11/2024
 Soul Feed: A Professor Deshpande Mystery ,24,261,5/12/2024
 The Pi Day Pie Baking Contest ,25,603,6/19/2024
 Curtis and The Critical Cog ,26,609,6/20/2024
 Tell Me Your Secrets! ,27,306,6/12/2024
 Ed Bumps ,28,329,6/7/2024
 Ouroboros ,29,67,6/1/2024
 The Circus Of Spies ,30,104,5/30/2024